# freq(Hz) power xerr yerr yfit comp1 comp2 comp3 comp4
5.421875000000000000e+00 1.249012726243768330e-03 1.562500000000000000e-02 7.387819075920707117e-04 2.044507046894398616e-03 1.212940924610225702e-04 2.766750563367724626e-05 9.906981936611636101e-05 1.796475629433582581e-03
6.000000000000000000e+00 1.635425563305052590e-03 1.562500000000000000e-02 6.122995013249009312e-04 1.697804690263791678e-03 9.889268911035984061e-05 2.223501164662435543e-05 7.822781187209693011e-05 1.498449177634710548e-03
6.625000000000000000e+00 2.190572329325321359e-03 1.562500000000000000e-02 5.648795465436820670e-04 1.406060232343474313e-03 8.100235893569646725e-05 1.798336865626806334e-05 6.230502891065309442e-05 1.244769475840856688e-03
7.312500000000000000e+00 1.358893081700837191e-03 1.562500000000000000e-02 5.230246127395998075e-04 1.159020317697399393e-03 6.640433297575380463e-05 1.457588727143655459e-05 4.981291412542081601e-05 1.028227183324788123e-03
8.078125000000000000e+00 2.087751526731251926e-04 1.562500000000000000e-02 5.021245703218687843e-04 9.498259362880069308e-04 5.435141982189915007e-05 1.180773283130926255e-05 3.985726026878134791e-05 8.438095233660171347e-04
8.921875000000000000e+00 4.267072204624575539e-04 1.562500000000000000e-02 4.991604206263630704e-04 7.762978651848132352e-04 4.451128587162146754e-05 9.580677097706270315e-06 3.198472523573620197e-05 6.902211769797493004e-04
9.843750000000000000e+00 -9.530794166000341875e-05 1.562500000000000000e-02 4.542679643792727883e-04 6.343600754944974177e-04 3.653061023995292063e-05 7.798046554115980645e-06 2.577956885086131469e-05 5.642518498495672271e-04
1.085937500000000000e+01 6.030561492285339701e-04 1.562500000000000000e-02 4.551098701671111462e-04 5.177239081486860158e-04 2.999172709573893128e-05 6.354586740156069077e-06 2.082374148598015331e-05 4.605538528268108460e-04
1.196875000000000000e+01 9.246858182009169182e-04 1.562500000000000000e-02 4.547587020414926330e-04 4.229217188877846807e-04 2.467079324571246581e-05 5.192372717445431402e-06 1.688242488799549971e-05 3.761761280366313033e-04
1.320312500000000000e+01 3.185602340675298570e-04 1.562500000000000000e-02 3.917776630538069549e-04 3.446438745076504852e-04 2.025928856521888694e-05 4.237978385263011102e-06 1.368160147761832195e-05 3.064650060795502890e-04
1.456250000000000000e+01 -5.711211737832374029e-05 1.562500000000000000e-02 3.865056115876123002e-04 2.808718925396048072e-04 1.664297500232742429e-05 3.462387250732813307e-06 1.110645038523101744e-05 2.496600799013135572e-04
1.604687500000000000e+01 4.358139110744767221e-04 1.562500000000000000e-02 3.643244892473766782e-04 2.293386621991281248e-04 1.369854863155795937e-05 2.835814282342545155e-06 9.044745949494109588e-06 2.037595533357335141e-04
1.767187500000000000e+01 -5.287621875093242605e-04 1.562500000000000000e-02 3.432470124930543632e-04 1.875222666527004607e-04 1.128929320766399599e-05 2.326712762555985248e-06 7.383045974212864025e-06 1.665232147082676222e-04
1.946875000000000000e+01 6.664069064980372541e-04 1.562500000000000000e-02 3.230405086851273564e-04 1.532490251663052065e-04 9.297194289575697417e-06 1.908425679655891379e-06 6.027672783688605558e-06 1.360157324133850045e-04
2.145312500000000000e+01 -8.373038046790150062e-05 1.562500000000000000e-02 3.125201878011813405e-04 1.252236107485300007e-04 7.653518332134001966e-06 1.565284271690961706e-06 4.923114928976664007e-06 1.110816932157283801e-04
2.362500000000000000e+01 5.298658053885581688e-04 1.562500000000000000e-02 2.966768895250486752e-04 1.024958898284210437e-04 6.308568941465601232e-06 1.285968445370521901e-06 4.029354906145960315e-06 9.087199753543896729e-05
2.601562500000000000e+01 4.379795998603394766e-04 1.562500000000000000e-02 2.823000087970115989e-04 8.393548739319618463e-05 5.200600862608005939e-06 1.056950670594300120e-06 3.300468443738746114e-06 7.437746741625513838e-05
2.864062500000000000e+01 -1.591957571252086343e-04 1.562500000000000000e-02 2.720337537556282554e-04 6.880290803595223899e-05 4.289620479062038219e-06 8.694525746910855128e-07 2.706617949655706254e-06 6.093721703254340879e-05
3.100000000000000000e+01 4.053585396254994269e-04 1.562500000000000000e-02 3.196969414272640632e-04 5.843156792495070285e-05 3.660632569504008776e-06 7.404548618823412980e-07 2.299704057310867423e-06 5.173077643625348810e-05
